2020-05-08 14:28:08 status half-installed libaudit1:armhf 1:2.6.7-2
2020-05-08 14:28:08 status unpacked libaudit1:armhf 1:2.6.7-2
2020-05-08 14:28:08 status unpacked libaudit1:armhf 1:2.6.7-2
2020-05-08 14:28:08 upgrade base-files:armhf 9.9+deb9u12 9.9+deb9u12
2020-05-08 14:28:08 status half-configured base-files:armhf 9.9+deb9u12
2020-05-08 14:28:08 status unpacked base-files:armhf 9.9+deb9u12
2020-05-08 14:28:08 status half-installed base-files:armhf 9.9+deb9u12
2020-05-08 14:28:08 status half-installed base-files:armhf 9.9+deb9u12
2020-05-08 14:28:08 status unpacked base-files:armhf 9.9+deb9u12
2020-05-08 14:28:08 status unpacked base-files:armhf 9.9+deb9u12
2020-05-08 14:28:08 upgrade base-passwd:armhf 3.5.43 3.5.43
2020-05-08 14:28:08 status half-configured base-passwd:armhf 3.5.43
2020-05-08 14:28:08 status unpacked base-passwd:armhf 3.5.43
2020-05-08 14:28:08 status half-installed base-passwd:armhf 3.5.43
2020-05-08 14:28:09 status half-installed base-passwd:armhf 3.5.43
2020-05-08 14:28:09 status unpacked base-passwd:armhf 3.5.43
2020-05-08 14:28:09 status unpacked base-passwd:armhf 3.5.43
2020-05-08 14:28:09 install bash:armhf <none> 4.4-5
2020-05-08 14:28:09 status half-installed bash:armhf 4.4-5
2020-05-08 14:28:09 status unpacked bash:armhf 4.4-5
2020-05-08 14:28:09 status unpacked bash:armhf 4.4-5
2020-05-08 14:28:10 install libbz2-1.0:armhf <none> 1.0.6-8.1
2020-05-08 14:28:10 status half-installed libbz2-1.0:armhf 1.0.6-8.1
2020-05-08 14:28:10 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2020-05-08 14:28:10 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2020-05-08 14:28:10 install libdebconfclient0:armhf <none> 0.227
2020-05-08 14:28:10 status half-installed libdebconfclient0:armhf 0.227
2020-05-08 14:28:10 status unpacked libdebconfclient0:armhf 0.227
2020-05-08 14:28:10 status unpacked libdebconfclient0:armhf 0.227
2020-05-08 14:28:10 install coreutils:armhf <none> 8.26-3
2020-05-08 14:28:10 status half-installed coreutils:armhf 8.26-3
2020-05-08 14:28:11 status unpacked coreutils:armhf 8.26-3
2020-05-08 14:28:11 status unpacked coreutils:armhf 8.26-3
2020-05-08 14:28:11 install dash:armhf <none> 0.5.8-2.4
2020-05-08 14:28:11 status half-installed dash:armhf 0.5.8-2.4
2020-05-08 14:28:12 status unpacked dash:armhf 0.5.8-2.4
2020-05-08 14:28:12 status unpacked dash:armhf 0.5.8-2.4
2020-05-08 14:28:12 install libdb5.3:armhf <none> 5.3.28-12+deb9u1
2020-05-08 14:28:12 status half-installed libdb5.3:armhf 5.3.28-12+deb9u1
2020-05-08 14:28:12 status unpacked libdb5.3:armhf 5.3.28-12+deb9u1
2020-05-08 14:28:12 status unpacked libdb5.3:armhf 5.3.28-12+deb9u1
2020-05-08 14:28:13 upgrade debconf:all 1.5.61 1.5.61
2020-05-08 14:28:13 status half-configured debconf:all 1.5.61
2020-05-08 14:28:13 status unpacked debconf:all 1.5.61
2020-05-08 14:28:13 status half-installed debconf:all 1.5.61
2020-05-08 14:28:13 status half-installed debconf:all 1.5.61
2020-05-08 14:28:13 status unpacked debconf:all 1.5.61
2020-05-08 14:28:13 status unpacked debconf:all 1.5.61
2020-05-08 14:28:13 install debianutils:armhf <none> 4.8.1.1
2020-05-08 14:28:13 status half-installed debianutils:armhf 4.8.1.1
2020-05-08 14:28:13 status unpacked debianutils:armhf 4.8.1.1
2020-05-08 14:28:13 status unpacked debianutils:armhf 4.8.1.1
2020-05-08 14:28:14 install diffutils:armhf <none> 1:3.5-3
2020-05-08 14:28:14 status half-installed diffutils:armhf 1:3.5-3
2020-05-08 14:28:14 status unpacked diffutils:armhf 1:3.5-3
2020-05-08 14:28:14 status unpacked diffutils:armhf 1:3.5-3
2020-05-08 14:28:14 upgrade dpkg:armhf 1.18.25 1.18.25
2020-05-08 14:28:14 status half-configured dpkg:armhf 1.18.25
2020-05-08 14:28:14 status unpacked dpkg:armhf 1.18.25
2020-05-08 14:28:14 status half-installed dpkg:armhf 1.18.25
2020-05-08 14:28:15 status half-installed dpkg:armhf 1.18.25
2020-05-08 14:28:15 status unpacked dpkg:armhf 1.18.25
2020-05-08 14:28:15 status unpacked dpkg:armhf 1.18.25
2020-05-08 14:28:15 install e2fslibs:armhf <none> 1.43.4-2+deb9u1
2020-05-08 14:28:15 status half-installed e2fslibs:armhf 1.43.4-2+deb9u1
2020-05-08 14:28:15 status unpacked e2fslibs:armhf 1.43.4-2+deb9u1
2020-05-08 14:28:15 status unpacked e2fslibs:armhf 1.43.4-2+deb9u1
2020-05-08 14:28:15 install e2fsprogs:armhf <none> 1.43.4-2+deb9u1
2020-05-08 14:28:15 status half-installed e2fsprogs:armhf 1.43.4-2+deb9u1
2020-05-08 14:28:16 status unpacked e2fsprogs:armhf 1.43.4-2+deb9u1
2020-05-08 14:28:16 status unpacked e2fsprogs:armhf 1.43.4-2+deb9u1
2020-05-08 14:28:16 install libcomerr2:armhf <none> 1.43.4-2+deb9u1
2020-05-08 14:28:16 status half-installed libcomerr2:armhf 1.43.4-2+deb9u1
2020-05-08 14:28:16 status unpacked libcomerr2:armhf 1.43.4-2+deb9u1
2020-05-08 14:28:16 status unpacked libcomerr2:armhf 1.43.4-2+deb9u1
2020-05-08 14:28:16 install libss2:armhf <none> 1.43.4-2+deb9u1
2020-05-08 14:28:16 status half-installed libss2:armhf 1.43.4-2+deb9u1
2020-05-08 14:28:16 status unpacked libss2:armhf 1.43.4-2+deb9u1
2020-05-08 14:28:16 status unpacked libss2:armhf 1.43.4-2+deb9u1
2020-05-08 14:28:17 install findutils:armhf <none> 4.6.0+git+20161106-2
2020-05-08 14:28:17 status half-installed findutils:armhf 4.6.0+git+20161106-2
2020-05-08 14:28:17 status unpacked findutils:armhf 4.6.0+git+20161106-2
2020-05-08 14:28:17 status unpacked findutils:armhf 4.6.0+git+20161106-2
2020-05-08 14:28:17 install gcc-6-base:armhf <none> 6.3.0-18+deb9u1
2020-05-08 14:28:17 status half-installed gcc-6-base:armhf 6.3.0-18+deb9u1
2020-05-08 14:28:17 status unpacked gcc-6-base:armhf 6.3.0-18+deb9u1
2020-05-08 14:28:17 status unpacked gcc-6-base:armhf 6.3.0-18+deb9u1
2020-05-08 14:28:17 install libgcc1:armhf <none> 1:6.3.0-18+deb9u1
2020-05-08 14:28:17 status half-installed libgcc1:armhf 1:6.3.0-18+deb9u1
2020-05-08 14:28:17 status unpacked libgcc1:armhf 1:6.3.0-18+deb9u1
2020-05-08 14:28:17 status unpacked libgcc1:armhf 1:6.3.0-18+deb9u1
2020-05-08 14:28:18 install libc-bin:armhf <none> 2.24-11+deb9u4
